-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/11/2015 through 12/06/2017 in LST
Location: Latitude  28.6324   Longitude 77.2188 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,T2MDEW,QV2M,RH2M,PRECTOTCORR,WS10M
2015,1,14,9,12.37,0.56,3.99,44.2,0.17,2.42
2015,1,14,10,15.28,0.19,3.89,35.67,0.55,1.89
2015,1,14,11,17.59,-0.42,3.72,29.44,2.91,1.87
2015,1,14,12,18.39,-0.17,3.79,28.51,4.08,1.96
2015,1,14,13,18.59,0.23,3.9,28.96,12.25,2.58
2015,1,14,14,18.38,0.74,4.05,30.47,5.84,2.9
2015,1,14,15,17.19,3.57,4.99,40.44,7.31,2.09
2015,1,14,16,13.8,5.23,5.58,56.21,4.6,2.33
2015,1,14,17,11.47,4.02,5.12,60.16,0.67,2.99
2015,1,14,18,10.49,4.29,5.21,65.38,0.39,3.24
2015,1,14,19,9.66,4.88,5.43,72.06,0.39,3.25
2015,1,14,20,8.83,5.57,5.69,79.85,0.13,3.19
2015,1,14,21,8.11,5.96,5.85,86.19,0.02,3.04
2015,1,14,22,7.43,6.02,5.88,90.74,0.0,2.8
2015,1,14,23,6.95,5.88,5.82,92.8,0.0,2.57
2015,1,15,0,7.19,5.65,5.72,89.72,0.0,2.05
2015,1,15,1,7.54,5.47,5.65,86.52,0.0,1.61
2015,1,15,2,7.13,5.4,5.63,88.66,0.0,1.68
2015,1,15,3,6.19,5.39,5.63,94.56,0.0,2.03
2015,1,15,4,5.42,5.39,5.63,99.77,0.0,2.24
2015,1,15,5,4.9,5.38,5.61,100.0,0.0,2.33
2015,1,15,6,4.48,5.37,5.61,100.0,0.0,2.42
2015,1,15,7,6.55,5.86,5.8,95.21,0.0,2.52
2015,1,15,8,8.81,6.4,6.02,84.74,0.0,2.85
2015,1,15,9,12.12,6.35,6.0,67.75,0.0,2.48
2015,1,15,10,16.3,3.74,4.99,43.0,0.0,2.6
2015,1,15,11,18.16,3.66,4.97,38.04,0.0,2.6
2015,1,15,12,19.16,3.71,4.99,35.85,0.0,2.91
2015,1,15,13,19.55,3.61,4.96,34.75,0.0,3.22
2015,1,15,14,19.48,3.42,4.9,34.47,0.0,3.26
2015,1,15,15,18.73,3.46,4.91,36.18,0.0,2.89
2015,1,15,16,15.29,5.09,5.52,50.56,0.0,2.1
2015,1,15,17,12.82,3.76,5.02,54.02,0.0,2.51
2015,1,15,18,11.85,3.36,4.87,55.89,0.0,2.69
2015,1,15,19,10.96,3.16,4.8,58.46,0.0,2.85
2015,1,15,20,10.14,3.21,4.82,62.02,0.0,3.02
2015,1,15,21,9.43,3.4,4.88,65.86,0.0,3.14
2015,1,15,22,8.78,3.69,4.99,70.34,0.0,3.21
2015,1,15,23,8.2,4.07,5.12,75.02,0.0,3.22
2015,1,16,0,7.64,4.48,5.28,80.34,0.0,3.16
2015,1,16,1,7.13,4.86,5.42,85.37,0.0,3.09
2015,1,16,2,6.65,5.17,5.54,90.14,0.0,3.02
2015,1,16,3,6.19,5.4,5.63,94.53,0.0,2.95
2015,1,16,4,5.77,5.57,5.7,98.53,0.0,2.96
2015,1,16,5,5.42,5.69,5.74,100.0,0.0,2.98
2015,1,16,6,5.15,5.77,5.77,100.0,0.0,2.95
2015,1,16,7,7.76,5.85,5.8,87.62,0.0,3.29
2015,1,16,8,10.52,5.99,5.85,73.42,0.0,3.28
2015,1,16,9,14.66,6.17,5.92,56.64,0.0,2.93
2015,1,16,10,18.23,5.78,5.76,43.9,0.0,2.82
2015,1,16,11,19.76,5.14,5.52,38.21,0.0,1.88
2015,1,16,12,20.82,4.34,5.22,33.81,0.0,1.22
2015,1,16,13,21.28,3.85,5.05,31.77,0.0,1.0
2015,1,16,14,21.23,3.63,4.97,31.36,0.0,1.22
2015,1,16,15,20.4,4.09,5.15,34.2,0.0,1.43
2015,1,16,16,17.17,5.93,5.88,47.78,0.0,1.79
2015,1,16,17,14.58,4.26,5.21,50.0,0.0,2.43
2015,1,16,18,13.45,3.88,5.06,52.29,0.0,2.66
2015,1,16,19,12.57,3.61,4.96,54.3,0.0,2.79
2015,1,16,20,11.74,3.38,4.88,56.43,0.0,2.88
2015,1,16,21,10.91,3.26,4.84,59.12,0.0,2.95
2015,1,16,22,10.08,3.34,4.87,62.86,0.0,3.09
2015,1,16,23,9.45,3.47,4.91,66.11,0.0,3.27
2015,1,17,0,9.13,3.64,4.97,68.38,0.0,3.46
2015,1,17,1,8.92,3.86,5.05,70.47,0.0,3.77
2015,1,17,2,8.43,4.04,5.11,73.7,0.0,3.73
2015,1,17,3,7.76,4.16,5.16,77.86,0.0,3.49
2015,1,17,4,7.19,4.22,5.18,81.26,0.0,3.3
2015,1,17,5,6.67,4.23,5.18,84.23,0.0,3.11
2015,1,17,6,6.83,4.21,5.17,83.18,0.0,2.93
2015,1,17,7,9.38,4.24,5.18,70.11,0.0,3.85
2015,1,17,8,11.97,4.45,5.26,59.95,0.0,3.62
2015,1,17,9,16.22,4.76,5.37,46.48,0.0,3.2
2015,1,17,10,20.41,4.29,5.2,34.59,0.0,3.81
2015,1,17,11,21.85,4.33,5.22,31.76,0.0,3.58
2015,1,17,12,22.71,4.2,5.18,29.88,0.0,3.6
2015,1,17,13,23.07,3.96,5.09,28.71,0.0,3.7
2015,1,17,14,22.81,3.7,5.0,28.65,0.0,3.8
2015,1,17,15,21.76,3.82,5.04,30.78,0.0,3.43
2015,1,17,16,17.69,6.08,5.91,46.46,0.0,2.41
2015,1,17,17,14.91,4.49,5.28,49.6,0.0,2.72
2015,1,17,18,13.99,4.17,5.16,51.48,0.0,2.72
2015,1,17,19,13.05,3.84,5.04,53.49,0.0,2.77
2015,1,17,20,12.07,3.52,4.92,55.7,0.0,2.87
2015,1,17,21,11.11,3.38,4.87,58.76,0.0,3.03
2015,1,17,22,10.26,3.29,4.84,61.8,0.0,3.16
2015,1,17,23,9.51,3.17,4.8,64.43,0.0,3.22
2015,1,18,0,8.86,3.03,4.76,66.75,0.0,3.26
2015,1,18,1,8.27,2.87,4.71,68.72,0.0,3.24
2015,1,18,2,7.69,2.7,4.65,70.54,0.0,3.21
2015,1,18,3,7.12,2.56,4.61,72.67,0.0,3.16
2015,1,18,4,6.62,2.46,4.58,74.72,0.0,3.14
2015,1,18,5,6.16,2.4,4.56,76.8,0.0,3.12
2015,1,18,6,5.81,2.39,4.56,78.71,0.0,3.07
2015,1,18,7,8.77,2.51,4.59,64.7,0.0,3.43
2015,1,18,8,11.78,2.86,4.71,54.33,0.0,3.68
2015,1,18,9,15.88,3.29,4.85,42.87,0.0,3.38
2015,1,18,10,20.15,2.14,4.47,30.2,0.0,4.48
2015,1,18,11,21.56,1.56,4.29,26.55,0.0,4.33
2015,1,18,12,22.38,1.09,4.15,24.41,0.0,4.19
2015,1,18,13,22.65,0.7,4.04,23.36,0.0,4.01
2015,1,18,14,22.39,0.41,3.96,23.26,0.0,3.97
2015,1,18,15,21.24,0.94,4.11,25.89,0.0,3.29
2015,1,18,16,16.97,4.21,5.19,42.65,0.0,2.46
2015,1,18,17,14.32,2.33,4.54,44.26,0.0,2.77
2015,1,18,18,13.56,1.72,4.35,44.59,0.0,2.72
2015,1,18,19,12.93,1.45,4.26,45.53,0.0,2.61
2015,1,18,20,12.35,1.18,4.17,46.32,0.0,2.49
2015,1,18,21,11.7,0.93,4.1,47.54,0.0,2.39
2015,1,18,22,10.66,0.7,4.03,50.07,0.0,2.49
2015,1,18,23,9.55,0.45,3.95,52.85,0.0,2.63
2015,1,19,0,8.62,0.18,3.88,55.28,0.0,2.7
2015,1,19,1,7.72,0.03,3.84,58.15,0.0,2.8
2015,1,19,2,7.04,-0.11,3.8,60.27,0.0,2.84
2015,1,19,3,6.5,-0.26,3.76,61.88,0.0,2.82
2015,1,19,4,6.1,-0.39,3.72,62.93,0.0,2.76
2015,1,19,5,5.72,-0.51,3.69,64.12,0.0,2.77
2015,1,19,6,5.4,-0.65,3.65,64.89,0.0,2.84
2015,1,19,7,8.4,-0.02,3.82,55.29,0.0,2.62
2015,1,19,8,12.0,-0.29,3.74,42.57,0.0,3.35
2015,1,19,9,15.94,0.24,3.89,34.3,0.0,3.05
2015,1,19,10,19.7,0.2,3.88,26.98,0.0,3.19
2015,1,19,11,21.03,-0.22,3.77,24.13,0.0,3.0
2015,1,19,12,21.88,-0.76,3.62,21.97,0.0,2.86
2015,1,19,13,22.19,-1.12,3.53,21.01,0.0,2.68
2015,1,19,14,21.68,-1.37,3.46,21.23,0.0,2.46
2015,1,19,15,20.3,2.25,4.62,30.84,0.0,1.6
2015,1,19,16,17.47,2.49,4.62,36.81,0.0,1.63
2015,1,19,17,15.47,0.18,3.89,35.25,0.0,1.94
2015,1,19,18,13.99,-0.12,3.81,38.02,0.0,2.29
2015,1,19,19,12.53,-0.22,3.78,41.52,0.0,2.59
2015,1,19,20,11.28,-0.41,3.72,44.39,0.0,2.79
2015,1,19,21,10.8,-0.43,3.72,45.83,0.0,2.72
2015,1,19,22,10.32,-0.56,3.68,46.81,0.0,2.6
2015,1,19,23,9.83,-0.7,3.64,47.84,0.0,2.49
2015,1,20,0,9.2,-0.86,3.6,49.35,0.0,2.44
2015,1,20,1,8.47,-0.98,3.57,51.4,0.0,2.46
2015,1,20,2,7.81,-1.14,3.52,52.99,0.0,2.47
2015,1,20,3,7.24,-1.35,3.47,54.3,0.0,2.45
2015,1,20,4,6.89,-1.57,3.41,54.65,0.0,2.37
2015,1,20,5,6.65,-1.84,3.34,54.43,0.0,2.24
2015,1,20,6,6.31,-1.95,3.31,55.26,0.0,2.19
2015,1,20,7,7.96,-0.57,3.68,54.9,0.0,1.84
2015,1,20,8,10.87,-1.21,3.49,42.85,0.0,2.06
2015,1,20,9,13.86,-0.54,3.67,37.03,0.0,1.24
2015,1,20,10,18.31,-1.32,3.46,26.28,0.0,1.2
2015,1,20,11,19.76,-1.6,3.4,23.57,0.0,0.83
2015,1,20,12,20.46,-1.92,3.32,22.02,0.0,0.74
2015,1,20,13,20.73,-2.35,3.21,20.92,0.0,0.94
2015,1,20,14,20.27,-2.62,3.15,21.12,0.0,1.3
2015,1,20,15,19.04,-0.73,3.69,26.68,0.0,1.52
2015,1,20,16,15.42,1.96,4.44,40.37,0.0,1.95
2015,1,20,17,12.8,-0.53,3.69,39.81,0.0,2.48
2015,1,20,18,11.43,-0.97,3.56,42.08,0.0,2.72
2015,1,20,19,10.46,-1.53,3.41,43.03,0.0,2.82
2015,1,20,20,9.71,-2.06,3.28,43.56,0.0,2.83
2015,1,20,21,9.17,-2.46,3.18,43.81,0.0,2.79
2015,1,20,22,8.76,-2.63,3.14,44.46,0.0,2.76
2015,1,20,23,9.15,-1.92,3.31,45.63,0.0,2.69
2015,1,21,0,9.03,-1.69,3.37,46.82,0.01,2.77
2015,1,21,1,8.46,-1.97,3.3,47.63,0.01,2.91
2015,1,21,2,7.8,-2.22,3.24,48.89,0.01,2.96
2015,1,21,3,7.13,-2.34,3.21,50.69,0.0,2.9
2015,1,21,4,6.71,-2.32,3.22,52.34,0.0,2.67
2015,1,21,5,6.58,-2.39,3.2,52.52,0.0,2.34
2015,1,21,6,6.57,-2.42,3.19,52.42,0.01,2.15
2015,1,21,7,8.62,-2.09,3.28,46.88,0.02,2.26
2015,1,21,8,10.97,-2.99,3.05,37.26,0.01,3.3
2015,1,21,9,14.23,-2.77,3.1,30.6,0.01,3.41
2015,1,21,10,17.69,-3.91,2.83,22.39,0.02,3.65
2015,1,21,11,19.35,-3.63,2.9,20.67,0.03,3.33
2015,1,21,12,20.31,-2.83,3.09,20.72,0.02,3.11
2015,1,21,13,20.75,-2.01,3.29,21.46,0.01,2.98
2015,1,21,14,20.75,-1.39,3.45,22.49,0.04,2.81
2015,1,21,15,19.95,0.44,3.98,27.24,0.28,2.09
2015,1,21,16,17.41,4.03,5.13,41.15,1.09,1.57
2015,1,21,17,16.22,1.88,4.4,38.1,3.59,1.61
2015,1,21,18,15.35,2.33,4.55,41.68,7.33,1.76
2015,1,21,19,14.19,3.18,4.82,47.6,15.84,2.11
2015,1,21,20,13.47,4.18,5.17,53.51,24.4,2.31
2015,1,21,21,13.35,5.08,5.51,57.49,15.58,2.03
2015,1,21,22,12.29,6.01,5.87,65.65,5.64,2.04
2015,1,21,23,11.25,6.17,5.92,70.86,1.99,2.73
2015,1,22,0,10.82,5.94,5.83,71.74,1.85,3.49
2015,1,22,1,10.61,6.17,5.93,73.94,2.09,4.23
2015,1,22,2,10.33,6.94,6.25,79.37,1.69,3.67
2015,1,22,3,10.09,7.85,6.65,85.84,0.32,2.96
2015,1,22,4,9.73,8.36,6.88,90.99,0.04,3.35
2015,1,22,5,9.75,8.63,7.01,92.58,0.07,3.17
2015,1,22,6,9.94,8.86,7.12,92.85,0.11,2.81
2015,1,22,7,10.54,9.14,7.25,90.86,0.1,2.63
2015,1,22,8,11.66,9.48,7.42,86.36,0.42,2.1
2015,1,22,9,13.17,9.29,7.32,77.18,0.3,2.52
2015,1,22,10,15.44,8.85,7.11,64.71,0.12,2.58
2015,1,22,11,17.15,8.53,6.96,56.75,0.09,2.04
2015,1,22,12,17.63,8.53,6.97,55.07,0.2,1.59
2015,1,22,13,17.75,8.61,7.01,54.93,0.34,1.4
2015,1,22,14,17.56,8.73,7.07,56.04,0.78,1.38
2015,1,22,15,16.95,8.93,7.17,59.06,1.43,1.32
2015,1,22,16,15.8,9.67,7.54,66.84,1.77,1.06
2015,1,22,17,13.91,9.39,7.39,74.05,3.23,1.68
2015,1,22,18,12.36,9.23,7.3,81.01,5.72,2.16
2015,1,22,19,11.11,8.99,7.18,86.59,10.34,2.37
2015,1,22,20,10.3,8.81,7.09,90.3,21.42,2.37
2015,1,22,21,9.7,8.65,7.01,92.96,42.7,2.35
2015,1,22,22,9.2,8.47,6.93,95.04,52.92,2.28
2015,1,22,23,8.77,8.27,6.84,96.53,52.65,2.19
2015,1,23,0,8.41,8.07,6.75,97.58,19.01,2.07
2015,1,23,1,8.24,7.94,6.69,97.8,4.1,1.88
2015,1,23,2,8.2,7.88,6.67,97.72,2.05,1.66
2015,1,23,3,8.13,7.84,6.65,97.84,6.51,1.46
2015,1,23,4,8.06,7.82,6.64,98.14,5.46,1.31
2015,1,23,5,8.02,7.81,6.64,98.46,5.9,1.11
2015,1,23,6,8.16,7.86,6.66,97.89,9.11,0.82
2015,1,23,7,9.57,8.7,7.04,94.11,9.03,0.58
2015,1,23,8,11.24,9.74,7.56,90.42,0.01,0.63
2015,1,23,9,15.23,9.93,7.65,70.53,0.09,1.08
2015,1,23,10,18.58,8.71,7.04,52.48,0.09,1.42
2015,1,23,11,20.16,8.16,6.79,45.83,0.06,1.19
2015,1,23,12,20.86,7.89,6.67,43.07,0.04,1.14
2015,1,23,13,21.22,7.7,6.59,41.58,0.02,1.35
2015,1,23,14,21.05,7.57,6.54,41.67,0.01,1.8
2015,1,23,15,20.1,7.55,6.53,44.12,0.0,2.32
2015,1,23,16,17.82,9.16,7.3,56.85,0.0,1.99
2015,1,23,17,14.54,8.05,6.76,64.96,0.0,2.84
2015,1,23,18,13.39,7.89,6.68,69.22,0.0,3.11
2015,1,23,19,12.57,8.18,6.81,74.51,0.0,3.27
2015,1,23,20,11.79,8.55,6.98,80.41,0.0,3.29
2015,1,23,21,11.04,8.87,7.13,86.31,0.0,3.14
2015,1,23,22,10.35,9.1,7.25,91.86,0.0,3.01
2015,1,23,23,9.78,9.23,7.32,96.32,0.0,2.96
2015,1,24,0,9.28,9.28,7.34,99.83,0.0,2.94
2015,1,24,1,8.83,9.26,7.34,100.0,0.0,2.95
2015,1,24,2,8.38,9.17,7.3,100.0,0.0,2.94
2015,1,24,3,7.91,9.04,7.24,100.0,0.0,2.91
2015,1,24,4,7.55,8.83,7.14,100.0,0.0,2.85
2015,1,24,5,7.29,8.56,7.0,100.0,0.0,2.82
2015,1,24,6,7.21,8.27,6.86,100.0,0.0,2.8
2015,1,24,7,9.64,8.04,6.75,89.77,0.0,3.9
2015,1,24,8,12.45,7.95,6.7,73.99,0.0,3.26
2015,1,24,9,16.98,6.83,6.2,51.16,0.0,3.27
2015,1,24,10,19.33,6.6,6.09,43.35,0.0,2.54
2015,1,24,11,20.68,6.32,5.98,39.12,0.0,2.11
2015,1,24,12,21.5,5.83,5.79,35.98,0.0,2.0
2015,1,24,13,21.91,5.21,5.55,33.61,0.0,2.17
2015,1,24,14,21.75,4.72,5.36,32.77,0.0,2.39
2015,1,24,15,20.93,4.29,5.2,33.44,0.0,2.73
2015,1,24,16,17.8,6.41,6.05,47.26,0.0,2.17
2015,1,24,17,14.48,5.03,5.48,52.95,0.0,2.66
2015,1,24,18,13.27,4.51,5.28,55.24,0.0,2.91
2015,1,24,19,12.33,4.06,5.11,56.89,0.0,3.09
2015,1,24,20,11.83,3.75,5.0,57.56,0.0,3.19
2015,1,24,21,11.24,3.37,4.86,58.18,0.0,3.18
2015,1,24,22,10.52,2.89,4.7,59.03,0.0,3.12
2015,1,24,23,10.13,2.51,4.58,59.05,0.0,3.06
2015,1,25,0,9.36,1.94,4.4,59.72,0.0,3.09
2015,1,25,1,8.36,1.28,4.19,60.83,0.0,3.19
2015,1,25,2,7.7,0.86,4.07,61.8,0.0,3.2
2015,1,25,3,7.1,0.61,4.0,63.28,0.0,3.15
2015,1,25,4,6.52,0.47,3.96,65.18,0.0,3.07
2015,1,25,5,6.0,0.42,3.94,67.25,0.0,2.99
2015,1,25,6,5.71,0.42,3.94,68.65,0.0,2.76
2015,1,25,7,8.89,1.1,4.14,58.05,0.0,2.32
2015,1,25,8,11.99,1.13,4.14,47.22,0.0,2.09
2015,1,25,9,16.12,1.18,4.16,36.31,0.0,2.0
2015,1,25,10,19.02,0.12,3.85,27.99,0.0,2.52
2015,1,25,11,20.37,-0.46,3.69,24.65,0.0,2.92
2015,1,25,12,21.15,-0.84,3.59,22.84,0.0,3.36
2015,1,25,13,21.4,-1.09,3.53,22.1,0.0,3.61
2015,1,25,14,20.97,-1.32,3.47,22.3,0.0,3.63
2015,1,25,15,19.99,-1.26,3.49,23.82,0.0,3.37
2015,1,25,16,16.38,2.7,4.68,40.04,0.0,2.25
2015,1,25,17,13.19,1.14,4.16,43.75,0.0,2.57
2015,1,25,18,12.19,0.57,3.98,44.72,0.0,2.62
2015,1,25,19,11.38,0.16,3.87,45.89,0.0,2.67
2015,1,25,20,10.82,-0.09,3.8,46.79,0.0,2.62
2015,1,25,21,10.22,-0.2,3.76,48.2,0.0,2.64
2015,1,25,22,9.81,-0.28,3.74,49.28,0.0,2.56
2015,1,25,23,9.68,-0.11,3.79,50.36,0.0,2.43
2015,1,26,0,9.49,-0.09,3.8,51.11,0.0,2.24
2015,1,26,1,9.53,0.24,3.89,52.17,0.0,1.92
2015,1,26,2,9.15,0.53,3.98,54.74,0.01,1.73
2015,1,26,3,8.68,0.84,4.07,57.78,0.04,1.6
2015,1,26,4,8.48,1.31,4.21,60.59,0.9,1.33
2015,1,26,5,8.33,1.66,4.32,62.85,6.23,1.16
2015,1,26,6,8.32,2.1,4.46,64.96,18.48,1.06
2015,1,26,7,9.34,3.09,4.78,65.0,34.77,0.83
2015,1,26,8,10.42,3.5,4.91,62.12,11.5,0.42
2015,1,26,9,13.47,5.36,5.61,58.04,3.69,0.59
2015,1,26,10,16.29,6.61,6.12,52.77,0.91,1.3
2015,1,26,11,17.84,6.96,6.27,48.95,0.13,1.42
2015,1,26,12,18.7,7.12,6.34,46.83,0.03,1.38
2015,1,26,13,18.94,7.18,6.36,46.23,0.04,1.08
2015,1,26,14,18.66,7.19,6.38,47.16,0.24,0.62
2015,1,26,15,18.11,7.35,6.45,49.35,0.23,0.72
2015,1,26,16,16.73,8.77,7.14,59.59,0.04,1.13
2015,1,26,17,14.41,8.49,6.98,67.64,0.06,1.98
2015,1,26,18,13.28,7.97,6.71,70.04,0.05,2.37
2015,1,26,19,12.34,8.05,6.75,74.97,0.78,2.48
2015,1,26,20,11.22,8.21,6.82,81.58,0.1,2.5
2015,1,26,21,10.36,8.22,6.83,86.52,0.0,2.44
2015,1,26,22,9.68,8.21,6.82,90.43,0.0,2.37
2015,1,26,23,9.08,8.13,6.79,93.72,0.0,2.35
2015,1,27,0,8.53,7.95,6.71,96.11,0.0,2.4
2015,1,27,1,8.2,7.65,6.58,96.34,0.0,2.49
2015,1,27,2,7.9,7.14,6.36,95.01,0.0,2.55
2015,1,27,3,7.64,6.5,6.08,92.45,0.0,2.51
2015,1,27,4,7.37,5.86,5.82,90.16,0.0,2.42
2015,1,27,5,6.9,5.24,5.57,89.16,0.0,2.42
2015,1,27,6,6.68,4.72,5.36,87.16,0.0,2.46
2015,1,27,7,8.82,4.52,5.29,74.37,0.0,3.57
2015,1,27,8,11.34,4.63,5.33,63.33,0.0,3.23
2015,1,27,9,15.73,4.68,5.34,47.69,0.0,2.98
