date,Hour,Junction,Vehicles,DayOfWeek,Month,Weekend,Vehicles_Lag1,Vehicles_Lag24,temperature,dew_point,specific humidity,relative_humidity,precipitation,wind_speed,holiday
2015-01-11,0,1,-0.3754887541021225,6,1,1,-0.3754887541021225,-0.3754887541021225,-2.0253213775208896,-1.12249690879254,-0.9277981003470263,0.3350276732655932,-0.20116845522226243,0.4829643325056716,0
2015-01-11,0,2,-0.8092268938777732,6,1,1,-0.3754887541021225,-0.3754887541021225,-2.0253213775208896,-1.12249690879254,-0.9277981003470263,0.3350276732655932,-0.20116845522226243,0.4829643325056716,0
2015-01-11,0,3,-0.6646475139525563,6,1,1,-0.3754887541021225,-0.3754887541021225,-2.0253213775208896,-1.12249690879254,-0.9277981003470263,0.3350276732655932,-0.20116845522226243,0.4829643325056716,0
2015-01-11,1,1,-0.47187500738560045,6,1,1,-0.3754887541021225,-0.3754887541021225,-2.105657052031663,-1.1427099293578649,-0.9344195915683303,0.41124599666855677,-0.20116845522226243,0.45447634516556495,0
2015-01-11,1,2,-0.8092268938777732,6,1,1,-0.8092268938777732,-0.3754887541021225,-2.105657052031663,-1.1427099293578649,-0.9344195915683303,0.41124599666855677,-0.20116845522226243,0.45447634516556495,0
2015-01-11,1,3,-0.7610337672360342,6,1,1,-0.6646475139525563,-0.3754887541021225,-2.105657052031663,-1.1427099293578649,-0.9344195915683303,0.41124599666855677,-0.20116845522226243,0.45447634516556495,0
2015-01-11,2,1,-0.6164543873108174,6,1,1,-0.47187500738560045,-0.3754887541021225,-2.1794790232037244,-1.1552227516125897,-0.9393857099843083,0.48880934930804365,-0.20116845522226243,0.3761343799802718,0
2015-01-11,2,2,-0.8574200205195122,6,1,1,-0.8092268938777732,-0.3754887541021225,-2.1794790232037244,-1.1552227516125897,-0.9393857099843083,0.48880934930804365,-0.20116845522226243,0.3761343799802718,0
2015-01-11,2,3,-0.8574200205195122,6,1,1,-0.7610337672360342,-0.3754887541021225,-2.1794790232037244,-1.1552227516125897,-0.9393857099843083,0.48880934930804365,-0.20116845522226243,0.3761343799802718,0
2015-01-11,3,3,-1.050192527086468,6,1,1,-0.8574200205195122,-0.3754887541021225,-2.243530439367719,-1.1667730490784896,-0.9443518284002862,0.5551641249765061,-0.20116845522226243,0.3191584053000585,0
2015-01-11,3,2,-0.8092268938777732,6,1,1,-0.8574200205195122,-0.3754887541021225,-2.243530439367719,-1.1667730490784896,-0.9443518284002862,0.5551641249765061,-0.20116845522226243,0.3191584053000585,0
2015-01-11,3,1,-0.7610337672360342,6,1,1,-0.6164543873108174,-0.3754887541021225,-2.243530439367719,-1.1667730490784896,-0.9443518284002862,0.5551641249765061,-0.20116845522226243,0.3191584053000585,0
2015-01-11,4,1,-0.6646475139525563,6,1,1,-0.7610337672360342,-0.3754887541021225,-2.2956400660774094,-1.1783233465443894,-0.9476625740109382,0.6156904406200363,-0.20116845522226243,0.29067041795995185,0
2015-01-11,4,2,-0.7610337672360342,6,1,1,-0.8092268938777732,-0.3754887541021225,-2.2956400660774094,-1.1783233465443894,-0.9476625740109382,0.6156904406200363,-0.20116845522226243,0.29067041795995185,0
2015-01-11,4,3,-1.001999400444729,6,1,1,-1.050192527086468,-0.3754887541021225,-2.2956400660774094,-1.1783233465443894,-0.9476625740109382,0.6156904406200363,-0.20116845522226243,0.29067041795995185,0
2015-01-11,5,1,-0.8092268938777732,6,1,1,-0.6646475139525563,-0.3754887541021225,-2.3434072238946255,-1.1869860696438146,-0.9509733196215904,0.6726300116328384,-0.20116845522226243,0.26930442745487204,0
2015-01-11,5,2,-1.001999400444729,6,1,1,-0.7610337672360342,-0.3754887541021225,-2.3434072238946255,-1.1869860696438146,-0.9509733196215904,0.6726300116328384,-0.20116845522226243,0.26930442745487204,0
