DateTime,Junction,Vehicles,Hour,DayOfWeek,Month,Weekend,Vehicles_Lag1,Vehicles_Lag24
2015-01-11 00:00:00,1,-0.3754887541021225,0,6,1,1,,-0.0010727967415092752
2015-01-11 00:00:00,2,-0.8092268938777732,0,6,1,1,,-0.0010727967415092752
2015-01-11 00:00:00,3,-0.6646475139525563,0,6,1,1,,-0.0010727967415092752
2015-01-11 01:00:00,1,-0.47187500738560045,1,6,1,1,-0.3754887541021225,-0.0010727967415092752
2015-01-11 01:00:00,2,-0.8092268938777732,1,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-11 01:00:00,3,-0.7610337672360342,1,6,1,1,-0.6646475139525563,-0.0010727967415092752
2015-01-11 02:00:00,1,-0.6164543873108174,2,6,1,1,-0.47187500738560045,-0.0010727967415092752
2015-01-11 02:00:00,2,-0.8574200205195122,2,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-11 02:00:00,3,-0.8574200205195122,2,6,1,1,-0.7610337672360342,-0.0010727967415092752
2015-01-11 03:00:00,1,-0.7610337672360342,3,6,1,1,-0.6164543873108174,-0.0010727967415092752
2015-01-11 03:00:00,2,-0.8092268938777732,3,6,1,1,-0.8574200205195122,-0.0010727967415092752
2015-01-11 03:00:00,3,-1.050192527086468,3,6,1,1,-0.8574200205195122,-0.0010727967415092752
2015-01-11 04:00:00,1,-0.6646475139525563,4,6,1,1,-0.7610337672360342,-0.0010727967415092752
2015-01-11 04:00:00,2,-0.7610337672360342,4,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-11 04:00:00,3,-1.001999400444729,4,6,1,1,-1.050192527086468,-0.0010727967415092752
2015-01-11 05:00:00,1,-0.8092268938777732,5,6,1,1,-0.6646475139525563,-0.0010727967415092752
2015-01-11 05:00:00,2,-1.001999400444729,5,6,1,1,-0.7610337672360342,-0.0010727967415092752
2015-01-11 05:00:00,3,-1.001999400444729,5,6,1,1,-1.001999400444729,-0.0010727967415092752
2015-01-11 06:00:00,1,-0.6646475139525563,6,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-11 06:00:00,2,-0.9056131471612512,6,6,1,1,-1.001999400444729,-0.0010727967415092752
2015-01-11 06:00:00,3,-0.9538062738029901,6,6,1,1,-1.001999400444729,-0.0010727967415092752
2015-01-11 07:00:00,1,-0.7128406405942953,7,6,1,1,-0.6646475139525563,-0.0010727967415092752
2015-01-11 07:00:00,2,-0.9056131471612512,7,6,1,1,-0.9056131471612512,-0.0010727967415092752
2015-01-11 07:00:00,3,-0.9056131471612512,7,6,1,1,-0.9538062738029901,-0.0010727967415092752
2015-01-11 08:00:00,1,-0.5682612606690783,8,6,1,1,-0.7128406405942953,-0.0010727967415092752
2015-01-11 08:00:00,2,-0.9538062738029901,8,6,1,1,-0.9056131471612512,-0.0010727967415092752
2015-01-11 08:00:00,3,-0.9538062738029901,8,6,1,1,-0.9056131471612512,-0.0010727967415092752
2015-01-11 09:00:00,1,-0.5200681340273394,9,6,1,1,-0.5682612606690783,-0.0010727967415092752
2015-01-11 09:00:00,2,-0.9538062738029901,9,6,1,1,-0.9538062738029901,-0.0010727967415092752
2015-01-11 09:00:00,3,-0.8092268938777732,9,6,1,1,-0.9538062738029901,-0.0010727967415092752
2015-01-11 10:00:00,1,-0.3754887541021225,10,6,1,1,-0.5200681340273394,-0.0010727967415092752
2015-01-11 10:00:00,2,-0.7128406405942953,10,6,1,1,-0.9538062738029901,-0.0010727967415092752
2015-01-11 10:00:00,3,-0.5200681340273394,10,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-11 11:00:00,1,-0.27910250081864457,11,6,1,1,-0.3754887541021225,-0.0010727967415092752
2015-01-11 11:00:00,2,-0.8574200205195122,11,6,1,1,-0.7128406405942953,-0.0010727967415092752
2015-01-11 11:00:00,3,-0.8092268938777732,11,6,1,1,-0.5200681340273394,-0.0010727967415092752
2015-01-11 12:00:00,1,-0.32729562746038354,12,6,1,1,-0.27910250081864457,-0.0010727967415092752
2015-01-11 12:00:00,2,-0.8092268938777732,12,6,1,1,-0.8574200205195122,-0.0010727967415092752
2015-01-11 12:00:00,3,-0.8092268938777732,12,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-11 13:00:00,1,-0.3754887541021225,13,6,1,1,-0.32729562746038354,-0.0010727967415092752
2015-01-11 13:00:00,2,-0.8092268938777732,13,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-11 13:00:00,3,-0.6646475139525563,13,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-11 14:00:00,1,-0.32729562746038354,14,6,1,1,-0.3754887541021225,-0.0010727967415092752
2015-01-11 14:00:00,2,-0.8574200205195122,14,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-11 14:00:00,3,-0.8092268938777732,14,6,1,1,-0.6646475139525563,-0.0010727967415092752
2015-01-11 15:00:00,1,-0.5200681340273394,15,6,1,1,-0.32729562746038354,-0.0010727967415092752
2015-01-11 15:00:00,2,-0.9538062738029901,15,6,1,1,-0.8574200205195122,-0.0010727967415092752
2015-01-11 15:00:00,3,-0.8092268938777732,15,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-11 16:00:00,1,-0.5200681340273394,16,6,1,1,-0.5200681340273394,-0.0010727967415092752
2015-01-11 16:00:00,2,-0.7128406405942953,16,6,1,1,-0.9538062738029901,-0.0010727967415092752
2015-01-11 16:00:00,3,-0.9056131471612512,16,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-11 17:00:00,1,-0.32729562746038354,17,6,1,1,-0.5200681340273394,-0.0010727967415092752
2015-01-11 17:00:00,2,-0.7610337672360342,17,6,1,1,-0.7128406405942953,-0.0010727967415092752
2015-01-11 17:00:00,3,-0.9056131471612512,17,6,1,1,-0.9056131471612512,-0.0010727967415092752
2015-01-11 18:00:00,1,-0.27910250081864457,18,6,1,1,-0.32729562746038354,-0.0010727967415092752
2015-01-11 18:00:00,2,-0.7128406405942953,18,6,1,1,-0.7610337672360342,-0.0010727967415092752
2015-01-11 18:00:00,3,-0.8092268938777732,18,6,1,1,-0.9056131471612512,-0.0010727967415092752
2015-01-11 19:00:00,1,-0.1345231208934277,19,6,1,1,-0.27910250081864457,-0.0010727967415092752
2015-01-11 19:00:00,2,-0.7610337672360342,19,6,1,1,-0.7128406405942953,-0.0010727967415092752
2015-01-11 19:00:00,3,-0.8574200205195122,19,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-11 20:00:00,1,-0.27910250081864457,20,6,1,1,-0.1345231208934277,-0.0010727967415092752
2015-01-11 20:00:00,2,-0.8092268938777732,20,6,1,1,-0.7610337672360342,-0.0010727967415092752
2015-01-11 20:00:00,3,-0.5682612606690783,20,6,1,1,-0.8574200205195122,-0.0010727967415092752
2015-01-11 21:00:00,1,-0.18271624753516666,21,6,1,1,-0.27910250081864457,-0.0010727967415092752
2015-01-11 21:00:00,2,-0.8574200205195122,21,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-11 21:00:00,3,-0.7128406405942953,21,6,1,1,-0.5682612606690783,-0.0010727967415092752
2015-01-11 22:00:00,1,-0.1345231208934277,22,6,1,1,-0.18271624753516666,-0.0010727967415092752
2015-01-11 22:00:00,2,-0.6646475139525563,22,6,1,1,-0.8574200205195122,-0.0010727967415092752
2015-01-11 22:00:00,3,-0.8092268938777732,22,6,1,1,-0.7128406405942953,-0.0010727967415092752
2015-01-11 23:00:00,1,-0.3754887541021225,23,6,1,1,-0.1345231208934277,-0.0010727967415092752
2015-01-11 23:00:00,2,-0.9056131471612512,23,6,1,1,-0.6646475139525563,-0.0010727967415092752
2015-01-11 23:00:00,3,-0.8574200205195122,23,6,1,1,-0.8092268938777732,-0.0010727967415092752
2015-01-12 00:00:00,1,-0.08632999425168872,0,0,1,0,-0.3754887541021225,-0.3754887541021225
2015-01-12 00:00:00,2,-0.6646475139525563,0,0,1,0,-0.9056131471612512,-0.8092268938777732
2015-01-12 00:00:00,3,-0.9056131471612512,0,0,1,0,-0.8574200205195122,-0.6646475139525563
2015-01-12 01:00:00,1,-0.1345231208934277,1,0,1,0,-0.08632999425168872,-0.47187500738560045
2015-01-12 01:00:00,2,-0.7610337672360342,1,0,1,0,-0.6646475139525563,-0.8092268938777732
2015-01-12 01:00:00,3,-0.9538062738029901,1,0,1,0,-0.9056131471612512,-0.7610337672360342
2015-01-12 02:00:00,1,-0.2309093741769056,2,0,1,0,-0.1345231208934277,-0.6164543873108174
2015-01-12 02:00:00,2,-0.7128406405942953,2,0,1,0,-0.7610337672360342,-0.8574200205195122
2015-01-12 02:00:00,3,-0.9056131471612512,2,0,1,0,-0.9538062738029901,-0.8574200205195122
2015-01-12 03:00:00,1,-0.47187500738560045,3,0,1,0,-0.2309093741769056,-0.7610337672360342
2015-01-12 03:00:00,2,-0.5682612606690783,3,0,1,0,-0.7128406405942953,-0.8092268938777732
2015-01-12 03:00:00,3,-0.9056131471612512,3,0,1,0,-0.9056131471612512,-1.050192527086468
2015-01-12 04:00:00,1,-0.4236818807438615,4,0,1,0,-0.47187500738560045,-0.6646475139525563
2015-01-12 04:00:00,2,-0.8092268938777732,4,0,1,0,-0.5682612606690783,-0.7610337672360342
2015-01-12 04:00:00,3,-0.7610337672360342,4,0,1,0,-0.9056131471612512,-1.001999400444729
2015-01-12 05:00:00,1,-0.5682612606690783,5,0,1,0,-0.4236818807438615,-0.8092268938777732
2015-01-12 05:00:00,2,-0.7128406405942953,5,0,1,0,-0.8092268938777732,-1.001999400444729
2015-01-12 05:00:00,3,-0.9538062738029901,5,0,1,0,-0.7610337672360342,-1.001999400444729
2015-01-12 06:00:00,1,-0.5682612606690783,6,0,1,0,-0.5682612606690783,-0.6646475139525563
2015-01-12 06:00:00,2,-0.8092268938777732,6,0,1,0,-0.7128406405942953,-0.9056131471612512
2015-01-12 06:00:00,3,-0.9056131471612512,6,0,1,0,-0.9538062738029901,-0.9538062738029901
2015-01-12 07:00:00,1,-0.5200681340273394,7,0,1,0,-0.5682612606690783,-0.7128406405942953
2015-01-12 07:00:00,2,-0.7610337672360342,7,0,1,0,-0.8092268938777732,-0.9056131471612512
2015-01-12 07:00:00,3,-1.001999400444729,7,0,1,0,-0.9056131471612512,-0.9056131471612512
2015-01-12 08:00:00,1,-0.32729562746038354,8,0,1,0,-0.5200681340273394,-0.5682612606690783
2015-01-12 08:00:00,2,-0.7128406405942953,8,0,1,0,-0.7610337672360342,-0.9538062738029901
2015-01-12 08:00:00,3,-0.8574200205195122,8,0,1,0,-1.001999400444729,-0.9538062738029901
2015-01-12 09:00:00,1,-0.08632999425168872,9,0,1,0,-0.32729562746038354,-0.5200681340273394
2015-01-12 09:00:00,2,-0.5682612606690783,9,0,1,0,-0.7128406405942953,-0.9538062738029901
2015-01-12 09:00:00,3,-0.9538062738029901,9,0,1,0,-0.8574200205195122,-0.8092268938777732
